node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hnba,1,0,31,38
0,1,f5,hlength,1,0,46,49
0,1,f5,hi,0,0,13,12
0,1,f5,hg,0,0,7,8
0,1,f2,hnba,0,0,23,16
0,1,f2,hmax,0,0,28,19
0,1,f2,hlength,1,0,11,16
0,1,f2,hi,0,0,19,20
0,1,f2,hdiff,0,0,19,20
0,1,f2,hg,0,0,23,24
0,1,f3,hnba,0,0,61,62
0,1,f3,hmax,0,0,54,55
0,1,f3,hlength,0,0,60,61
0,1,f3,hi,0,0,25,16
0,1,f3,hdiff,0,0,7,8
0,1,f3,hg,0,0,7,8
0,1,f1,hnba,1,0,13,16
0,1,f1,hlength,0,0,25,16
0,1,f1,hdiff,0,0,7,8
0,1,f4,hnba,0,0,15,14
0,1,f4,hlength,0,0,19,14
0,1,f4,hi,0,0,13,12
1,2,f5,hnba,1,0,20,38
1,2,f5,hlength,1,0,6,49
1,2,f5,hi,0,0,18,12
1,2,f5,hg,0,0,6,8
1,2,f2,hnba,0,0,22,16
1,2,f2,hmax,0,0,18,19
1,2,f2,hlength,1,0,10,16
1,2,f2,hi,0,0,18,20
1,2,f2,hdiff,0,0,18,20
1,2,f2,hg,1,0,14,24
1,2,f3,hnba,0,0,64,62
1,2,f3,hmax,0,0,55,55
1,2,f3,hlength,1,0,6,61
1,2,f3,hi,1,0,10,16
1,2,f3,hdiff,0,0,6,8
1,2,f3,hg,0,0,6,8
1,2,f1,hnba,1,0,8,16
1,2,f1,hlength,1,0,8,16
1,2,f1,hdiff,0,0,6,8
1,2,f4,hnba,1,0,10,14
1,2,f4,hlength,0,0,20,14
1,2,f4,hi,1,0,8,12
2,3,f5,hnba,0,0,48,38
2,3,f5,hlength,1,0,21,49
2,3,f5,hi,0,0,25,12
2,3,f5,hg,0,0,5,8
2,3,f2,hnba,0,0,15,16
2,3,f2,hmax,0,0,26,19
2,3,f2,hlength,1,0,7,16
2,3,f2,hi,1,0,9,20
2,3,f2,hdiff,0,0,17,20
2,3,f2,hg,1,0,13,24
2,3,f3,hnba,0,0,59,62
2,3,f3,hmax,0,0,54,55
2,3,f3,hlength,0,0,58,61
2,3,f3,hi,0,0,13,16
2,3,f3,hdiff,0,0,5,8
2,3,f3,hg,0,0,5,8
2,3,f1,hnba,0,0,15,16
2,3,f1,hlength,0,0,19,16
2,3,f1,hdiff,0,0,5,8
2,3,f4,hnba,0,0,21,14
2,3,f4,hlength,0,0,11,14
2,3,f4,hi,0,0,11,12
3,4,f5,hnba,1,0,28,38
3,4,f5,hlength,1,0,6,49
3,4,f5,hi,0,0,49,12
3,4,f5,hg,0,0,6,8
3,4,f2,hnba,0,0,12,16
3,4,f2,hmax,0,0,22,19
3,4,f2,hlength,0,0,12,16
3,4,f2,hi,0,0,16,20
3,4,f2,hdiff,0,0,16,20
3,4,f2,hg,1,0,16,24
3,4,f3,hnba,0,0,65,62
3,4,f3,hmax,1,0,49,55
3,4,f3,hlength,1,0,6,61
3,4,f3,hi,1,0,10,16
3,4,f3,hdiff,0,0,6,8
3,4,f3,hg,0,0,6,8
3,4,f1,hnba,0,0,16,16
3,4,f1,hlength,1,0,8,16
3,4,f1,hdiff,0,0,6,8
3,4,f4,hnba,0,0,10,14
3,4,f4,hlength,1,0,6,14
3,4,f4,hi,1,0,6,12
4,4,f5,hnba,1,0,28,38
4,4,f5,hlength,1,0,6,49
4,4,f5,hi,0,0,26,12
4,4,f5,hg,0,0,6,8
4,4,f2,hnba,0,0,12,16
4,4,f2,hmax,1,0,6,19
4,4,f2,hlength,0,0,12,16
4,4,f2,hi,0,0,16,20
4,4,f2,hdiff,1,0,8,20
4,4,f2,hg,1,0,12,24
4,4,f3,hnba,0,0,62,62
4,4,f3,hmax,1,0,49,55
4,4,f3,hlength,1,0,6,61
4,4,f3,hi,1,0,10,16
4,4,f3,hdiff,0,0,6,8
4,4,f3,hg,0,0,6,8
4,4,f1,hnba,0,0,14,16
4,4,f1,hlength,0,0,16,16
4,4,f1,hdiff,0,0,6,8
4,4,f4,hnba,0,0,14,14
4,4,f4,hlength,1,0,6,14
4,4,f4,hi,1,0,6,12
5,4,f5,hnba,1,0,18,38
5,4,f5,hlength,1,0,4,49
5,4,f5,hi,1,0,4,12
5,4,f5,hg,0,0,4,8
5,4,f2,hnba,1,0,4,16
5,4,f2,hmax,0,0,16,19
5,4,f2,hlength,1,0,4,16
5,4,f2,hi,1,0,4,20
5,4,f2,hdiff,0,0,20,20
5,4,f2,hg,0,0,20,24
5,4,f3,hnba,0,0,62,62
5,4,f3,hmax,1,0,47,55
5,4,f3,hlength,1,0,4,61
5,4,f3,hi,1,0,4,16
5,4,f3,hdiff,0,0,4,8
5,4,f3,hg,0,0,4,8
5,4,f1,hnba,1,0,4,16
5,4,f1,hlength,0,0,22,16
5,4,f1,hdiff,0,0,4,8
5,4,f4,hnba,0,0,18,14
5,4,f4,hlength,0,0,31,14
5,4,f4,hi,1,0,4,12
6,4,f5,hnba,1,0,18,38
6,4,f5,hlength,1,0,14,49
6,4,f5,hi,0,0,46,12
6,4,f5,hg,0,0,8,8
6,4,f2,hnba,0,0,22,16
6,4,f2,hmax,1,0,12,19
6,4,f2,hlength,1,0,8,16
6,4,f2,hi,0,0,16,20
6,4,f2,hdiff,0,0,16,20
6,4,f2,hg,1,0,16,24
6,4,f3,hnba,0,0,71,62
6,4,f3,hmax,1,0,47,55
6,4,f3,hlength,0,0,83,61
6,4,f3,hi,0,0,34,16
6,4,f3,hdiff,0,0,8,8
6,4,f3,hg,0,0,8,8
6,4,f1,hnba,0,0,14,16
6,4,f1,hlength,0,0,30,16
6,4,f1,hdiff,0,0,8,8
6,4,f4,hnba,0,0,14,14
6,4,f4,hlength,0,0,12,14
6,4,f4,hi,0,0,12,12
7,4,f5,hnba,1,0,18,38
7,4,f5,hlength,1,0,14,49
7,4,f5,hi,0,0,46,12
7,4,f5,hg,0,0,8,8
7,4,f2,hnba,0,0,22,16
7,4,f2,hmax,0,0,28,19
7,4,f2,hlength,1,0,8,16
7,4,f2,hi,0,0,16,20
7,4,f2,hdiff,0,0,16,20
7,4,f2,hg,0,0,20,24
7,4,f3,hnba,1,0,47,62
7,4,f3,hmax,1,0,47,55
7,4,f3,hlength,0,0,80,61
7,4,f3,hi,0,0,30,16
7,4,f3,hdiff,0,0,8,8
7,4,f3,hg,0,0,8,8
7,4,f1,hnba,0,0,14,16
7,4,f1,hlength,0,0,12,16
7,4,f1,hdiff,0,0,8,8
7,4,f4,hnba,0,0,18,14
7,4,f4,hlength,0,0,14,14
7,4,f4,hi,0,0,12,12
8,5,f5,hnba,1,0,27,38
8,5,f5,hlength,1,0,32,49
8,5,f5,hi,0,0,11,12
8,5,f5,hg,0,0,9,8
8,5,f2,hnba,0,0,23,16
8,5,f2,hmax,0,0,15,19
8,5,f2,hlength,0,0,15,16
8,5,f2,hi,0,0,19,20
8,5,f2,hdiff,0,0,23,20
8,5,f2,hg,0,0,19,24
8,5,f3,hnba,1,0,42,62
8,5,f3,hmax,0,0,56,55
8,5,f3,hlength,0,0,62,61
8,5,f3,hi,0,0,17,16
8,5,f3,hdiff,0,0,9,8
8,5,f3,hg,0,0,9,8
8,5,f1,hnba,0,0,15,16
8,5,f1,hlength,0,0,23,16
8,5,f1,hdiff,0,0,9,8
8,5,f4,hnba,0,0,17,14
8,5,f4,hlength,0,0,17,14
8,5,f4,hi,0,0,11,12
9,5,f5,hnba,1,0,15,38
9,5,f5,hlength,1,0,43,49
9,5,f5,hi,0,0,23,12
9,5,f5,hg,0,0,7,8
9,5,f2,hnba,1,0,7,16
9,5,f2,hmax,1,0,11,19
9,5,f2,hlength,1,0,7,16
9,5,f2,hi,1,0,11,20
9,5,f2,hdiff,0,0,15,20
9,5,f2,hg,0,0,19,24
9,5,f3,hnba,0,0,61,62
9,5,f3,hmax,0,0,50,55
9,5,f3,hlength,1,0,7,61
9,5,f3,hi,0,0,15,16
9,5,f3,hdiff,0,0,7,8
9,5,f3,hg,0,0,7,8
9,5,f1,hnba,1,0,7,16
9,5,f1,hlength,0,0,15,16
9,5,f1,hdiff,0,0,7,8
9,5,f4,hnba,1,0,7,14
9,5,f4,hlength,1,0,7,14
9,5,f4,hi,0,0,19,12
10,5,f5,hnba,0,0,39,38
10,5,f5,hlength,1,0,40,49
10,5,f5,hi,0,0,19,12
10,5,f5,hg,0,0,5,8
10,5,f2,hnba,0,0,15,16
10,5,f2,hmax,0,0,17,19
10,5,f2,hlength,0,0,19,16
10,5,f2,hi,1,0,5,20
10,5,f2,hdiff,1,0,11,20
10,5,f2,hg,1,0,15,24
10,5,f3,hnba,1,0,44,62
10,5,f3,hmax,0,0,76,55
10,5,f3,hlength,0,0,66,61
10,5,f3,hi,0,0,21,16
10,5,f3,hdiff,0,0,5,8
10,5,f3,hg,0,0,5,8
10,5,f1,hnba,1,0,7,16
10,5,f1,hlength,0,0,25,16
10,5,f1,hdiff,0,0,5,8
10,5,f4,hnba,0,0,17,14
10,5,f4,hlength,0,0,13,14
10,5,f4,hi,1,0,5,12
11,5,f5,hnba,0,0,37,38
