node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,1,0,19,32
0,1,f5,hdiff,0,0,29,28
0,1,f5,hi,0,0,23,14
0,1,f5,hlength,1,0,29,72
0,1,f5,hmax,0,0,11,10
0,1,f5,hnba,1,0,15,44
0,1,f1,hg,0,0,11,10
0,1,f1,hdiff,0,0,11,10
0,1,f2,hg,1,0,11,24
0,1,f2,hdiff,0,0,11,10
0,1,f2,hi,0,0,11,10
0,1,f2,hlength,0,0,117,38
0,1,f2,hmax,0,0,11,10
0,1,f2,hnba,0,0,63,54
0,1,f4,hg,0,0,119,120
0,1,f4,hdiff,1,0,39,290
0,1,f4,hi,1,0,107,112
0,1,f4,hlength,1,0,119,194
0,1,f4,hmax,0,0,81,54
0,1,f4,hnba,0,0,305,250
0,1,f3,hg,0,0,15,14
0,1,f3,hdiff,1,0,25,36
0,1,f3,hi,1,0,29,44
0,1,f3,hlength,0,0,19,10
0,1,f3,hmax,0,0,27,28
0,1,f3,hnba,0,0,63,54
0,1,f6,hg,0,0,75,30
0,1,f6,hdiff,0,0,171,42
0,1,f6,hi,1,0,57,134
0,1,f6,hlength,0,0,299,240
0,1,f6,hmax,1,0,17,44
0,1,f6,hnba,0,0,219,150
1,1,f5,hg,1,0,21,32
1,1,f5,hdiff,0,0,37,28
1,1,f5,hi,0,0,15,14
1,1,f5,hlength,1,0,65,72
1,1,f5,hmax,0,0,11,10
1,1,f5,hnba,1,0,27,44
1,1,f1,hg,0,0,15,10
1,1,f1,hdiff,0,0,15,10
1,1,f2,hg,1,0,11,24
1,1,f2,hdiff,0,0,21,10
1,1,f2,hi,0,0,25,10
1,1,f2,hlength,1,0,35,38
1,1,f2,hmax,0,0,11,10
1,1,f2,hnba,0,0,63,54
1,1,f4,hg,0,0,119,120
1,1,f4,hdiff,0,0,291,290
1,1,f4,hi,1,0,83,112
1,1,f4,hlength,1,0,119,194
1,1,f4,hmax,0,0,81,54
1,1,f4,hnba,0,0,251,250
1,1,f3,hg,0,0,15,14
1,1,f3,hdiff,1,0,29,36
1,1,f3,hi,1,0,19,44
1,1,f3,hlength,0,0,19,10
1,1,f3,hmax,0,0,29,28
1,1,f3,hnba,0,0,63,54
1,1,f6,hg,0,0,155,30
1,1,f6,hdiff,0,0,63,42
1,1,f6,hi,1,0,125,134
1,1,f6,hlength,1,0,137,240
1,1,f6,hmax,1,0,17,44
1,1,f6,hnba,1,0,67,150
2,1,f5,hg,1,0,19,32
2,1,f5,hdiff,1,0,9,28
2,1,f5,hi,1,0,9,14
2,1,f5,hlength,1,0,49,72
2,1,f5,hmax,0,0,9,10
2,1,f5,hnba,1,0,41,44
2,1,f1,hg,0,0,9,10
2,1,f1,hdiff,0,0,9,10
2,1,f2,hg,0,0,31,24
2,1,f2,hdiff,0,0,9,10
2,1,f2,hi,0,0,13,10
2,1,f2,hlength,0,0,123,38
2,1,f2,hmax,0,0,9,10
2,1,f2,hnba,1,0,45,54
2,1,f4,hg,1,0,63,120
2,1,f4,hdiff,1,0,41,290
2,1,f4,hi,0,0,187,112
2,1,f4,hlength,1,0,93,194
2,1,f4,hmax,0,0,79,54
2,1,f4,hnba,0,0,263,250
2,1,f3,hg,0,0,17,14
2,1,f3,hdiff,0,0,37,36
2,1,f3,hi,0,0,59,44
2,1,f3,hlength,0,0,9,10
2,1,f3,hmax,0,0,29,28
2,1,f3,hnba,1,0,45,54
2,1,f6,hg,0,0,51,30
2,1,f6,hdiff,0,0,61,42
