node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f5,hg,0,0,23,12
0,1,f5,hdiff,0,0,13,12
0,1,f5,hi,0,0,31,26
0,1,f5,hlength,0,0,53,28
0,1,f5,hmax,0,0,15,14
0,1,f5,hnba,1,0,21,32
0,1,f1,hg,0,0,13,12
0,1,f1,hdiff,0,0,13,12
0,1,f2,hg,0,0,17,16
0,1,f2,hdiff,0,0,13,12
0,1,f2,hi,0,0,45,12
0,1,f2,hlength,0,0,49,48
0,1,f2,hmax,0,0,15,14
0,1,f2,hnba,0,0,61,44
0,1,f4,hg,0,0,69,68
0,1,f4,hdiff,0,0,105,104
0,1,f4,hi,1,0,187,270
0,1,f4,hlength,0,0,69,68
0,1,f4,hmax,0,0,147,146
0,1,f4,hnba,0,0,281,206
0,1,f3,hg,0,0,19,18
0,1,f3,hdiff,0,0,39,38
0,1,f3,hi,0,0,29,24
0,1,f3,hlength,1,0,15,18
0,1,f3,hmax,0,0,39,38
0,1,f3,hnba,0,0,61,44
0,1,f6,hg,1,0,23,38
0,1,f6,hdiff,0,0,105,12
0,1,f6,hi,1,0,105,210
0,1,f6,hlength,1,0,147,326
0,1,f6,hmax,0,0,199,34
0,1,f6,hnba,0,0,203,132
1,1,f5,hg,0,0,21,12
1,1,f5,hdiff,0,0,11,12
1,1,f5,hi,1,0,15,26
1,1,f5,hlength,0,0,49,28
1,1,f5,hmax,0,0,13,14
1,1,f5,hnba,0,0,39,32
1,1,f1,hg,0,0,11,12
1,1,f1,hdiff,0,0,11,12
1,1,f2,hg,0,0,15,16
1,1,f2,hdiff,0,0,11,12
1,1,f2,hi,0,0,11,12
1,1,f2,hlength,0,0,115,48
1,1,f2,hmax,0,0,13,14
1,1,f2,hnba,1,0,15,44
1,1,f4,hg,0,0,67,68
1,1,f4,hdiff,1,0,45,104
1,1,f4,hi,1,0,235,270
1,1,f4,hlength,1,0,65,68
1,1,f4,hmax,0,0,145,146
1,1,f4,hnba,0,0,279,206
1,1,f3,hg,0,0,17,18
1,1,f3,hdiff,0,0,37,38
1,1,f3,hi,1,0,19,24
1,1,f3,hlength,0,0,17,18
1,1,f3,hmax,1,0,25,38
1,1,f3,hnba,1,0,15,44
1,1,f6,hg,1,0,21,38
1,1,f6,hdiff,0,0,63,12
1,1,f6,hi,1,0,171,210
1,1,f6,hlength,1,0,145,326
1,1,f6,hmax,0,0,219,34
1,1,f6,hnba,1,0,39,132
2,2,f5,hg,0,0,14,12
2,2,f5,hdiff,0,0,14,12
2,2,f5,hi,1,0,18,26
2,2,f5,hlength,0,0,30,28
2,2,f5,hmax,0,0,16,14
2,2,f5,hnba,1,0,18,32
2,2,f1,hg,0,0,14,12
2,2,f1,hdiff,0,0,14,12
2,2,f2,hg,0,0,18,16
2,2,f2,hdiff,0,0,14,12
2,2,f2,hi,0,0,14,12
2,2,f2,hlength,0,0,50,48
2,2,f2,hmax,0,0,16,14
2,2,f2,hnba,0,0,62,44
2,2,f4,hg,0,0,70,68
2,2,f4,hdiff,0,0,106,104
2,2,f4,hi,1,0,18,270
2,2,f4,hlength,0,0,70,68
2,2,f4,hmax,0,0,194,146
2,2,f4,hnba,0,0,208,206
2,2,f3,hg,0,0,20,18
2,2,f3,hdiff,0,0,50,38
2,2,f3,hi,0,0,24,24
2,2,f3,hlength,0,0,16,18
2,2,f3,hmax,0,0,40,38
2,2,f3,hnba,0,0,62,44
2,2,f6,hg,0,0,40,38
2,2,f6,hdiff,0,0,14,12
2,2,f6,hi,0,0,260,210
2,2,f6,hlength,0,0,328,326
2,2,f6,hmax,0,0,122,34
2,2,f6,hnba,0,0,190,132
3,2,f5,hg,0,0,10,12
3,2,f5,hdiff,0,0,10,12
3,2,f5,hi,1,0,16,26
3,2,f5,hlength,0,0,26,28
3,2,f5,hmax,0,0,12,14
3,2,f5,hnba,0,0,52,32
3,2,f1,hg,0,0,10,12
3,2,f1,hdiff,0,0,10,12
3,2,f2,hg,1,0,10,16
3,2,f2,hdiff,0,0,10,12
3,2,f2,hi,0,0,10,12
3,2,f2,hlength,0,0,92,48
3,2,f2,hmax,0,0,12,14
3,2,f2,hnba,0,0,46,44
3,2,f4,hg,1,0,20,68
3,2,f4,hdiff,0,0,102,104
3,2,f4,hi,1,0,142,270
3,2,f4,hlength,0,0,78,68
3,2,f4,hmax,0,0,190,146
3,2,f4,hnba,0,0,204,206
3,2,f3,hg,0,0,16,18
3,2,f3,hdiff,0,0,46,38
3,2,f3,hi,0,0,34,24
3,2,f3,hlength,1,0,12,18
3,2,f3,hmax,0,0,36,38
3,2,f3,hnba,0,0,46,44
3,2,f6,hg,0,0,36,38
3,2,f6,hdiff,0,0,10,12
3,2,f6,hi,1,0,100,210
3,2,f6,hlength,1,0,310,326
3,2,f6,hmax,0,0,32,34
3,2,f6,hnba,0,0,144,132
4,2,f5,hg,0,0,12,12
4,2,f5,hdiff,0,0,12,12
4,2,f5,hi,1,0,12,26
4,2,f5,hlength,0,0,26,28
4,2,f5,hmax,0,0,14,14
4,2,f5,hnba,0,0,46,32
4,2,f1,hg,0,0,12,12
4,2,f1,hdiff,0,0,12,12
4,2,f2,hg,0,0,16,16
4,2,f2,hdiff,0,0,12,12
4,2,f2,hi,0,0,22,12
4,2,f2,hlength,0,0,116,48
4,2,f2,hmax,0,0,14,14
4,2,f2,hnba,1,0,18,44
4,2,f4,hg,1,0,22,68
4,2,f4,hdiff,1,0,46,104
4,2,f4,hi,1,0,262,270
4,2,f4,hlength,0,0,66,68
4,2,f4,hmax,0,0,212,146
4,2,f4,hnba,0,0,206,206
4,2,f3,hg,0,0,18,18
4,2,f3,hdiff,0,0,54,38
4,2,f3,hi,0,0,34,24
4,2,f3,hlength,0,0,18,18
4,2,f3,hmax,1,0,26,38
4,2,f3,hnba,1,0,18,44
4,2,f6,hg,0,0,38,38
4,2,f6,hdiff,0,0,12,12
4,2,f6,hi,1,0,206,210
4,2,f6,hlength,0,0,324,326
4,2,f6,hmax,0,0,38,34
4,2,f6,hnba,0,0,196,132
5,3,f5,hg,0,0,19,12
5,3,f5,hdiff,0,0,13,12
5,3,f5,hi,1,0,13,26
5,3,f5,hlength,0,0,53,28
5,3,f5,hmax,1,0,9,14
5,3,f5,hnba,0,0,39,32
5,3,f1,hg,0,0,9,12
5,3,f1,hdiff,0,0,9,12
5,3,f2,hg,0,0,21,16
5,3,f2,hdiff,0,0,9,12
5,3,f2,hi,0,0,17,12
5,3,f2,hlength,0,0,49,48
5,3,f2,hmax,0,0,13,14
5,3,f2,hnba,1,0,27,44
5,3,f4,hg,0,0,67,68
5,3,f4,hdiff,1,0,43,104
5,3,f4,hi,1,0,205,270
5,3,f4,hlength,0,0,65,68
5,3,f4,hmax,0,0,145,146
5,3,f4,hnba,0,0,279,206
5,3,f3,hg,0,0,17,18
5,3,f3,hdiff,0,0,37,38
5,3,f3,hi,1,0,15,24
5,3,f3,hlength,0,0,17,18
5,3,f3,hmax,1,0,25,38
5,3,f3,hnba,1,0,27,44
5,3,f6,hg,1,0,19,38
5,3,f6,hdiff,0,0,101,12
5,3,f6,hi,1,0,45,210
5,3,f6,hlength,1,0,155,326
5,3,f6,hmax,0,0,229,34
5,3,f6,hnba,0,0,195,132
6,3,f5,hg,0,0,21,12
6,3,f5,hdiff,0,0,15,12
6,3,f5,hi,1,0,13,26
6,3,f5,hlength,0,0,55,28
6,3,f5,hmax,0,0,11,14
6,3,f5,hnba,0,0,57,32
6,3,f1,hg,0,0,11,12
6,3,f1,hdiff,0,0,11,12
6,3,f2,hg,1,0,11,16
6,3,f2,hdiff,0,0,11,12
6,3,f2,hi,0,0,15,12
6,3,f2,hlength,0,0,97,48
6,3,f2,hmax,0,0,11,14
6,3,f2,hnba,1,0,33,44
6,3,f4,hg,1,0,21,68
6,3,f4,hdiff,0,0,103,104
6,3,f4,hi,1,0,89,270
6,3,f4,hlength,0,0,295,68
6,3,f4,hmax,0,0,143,146
6,3,f4,hnba,1,0,85,206
6,3,f3,hg,0,0,19,18
6,3,f3,hdiff,1,0,11,38
6,3,f3,hi,0,0,53,24
6,3,f3,hlength,1,0,9,18
6,3,f3,hmax,1,0,23,38
6,3,f3,hnba,1,0,33,44
6,3,f6,hg,1,0,21,38
6,3,f6,hdiff,0,0,103,12
6,3,f6,hi,1,0,133,210
6,3,f6,hlength,1,0,231,326
6,3,f6,hmax,0,0,111,34
6,3,f6,hnba,1,0,57,132
7,3,f5,hg,0,0,23,12
7,3,f5,hdiff,0,0,13,12
