node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f6,hnba,0,0,23,24
0,1,f6,hlength,0,0,43,24
0,1,f6,hi,1,0,33,38
0,1,f6,hg,0,0,39,22
0,1,f3,hnba,0,0,17,18
0,1,f3,hmax,0,0,21,22
0,1,f3,hlength,0,0,9,10
0,1,f3,hi,1,0,9,20
0,1,f3,hdiff,1,0,9,20
0,1,f3,hg,0,0,13,14
0,1,f4,hnba,0,0,51,52
0,1,f4,hmax,0,0,33,20
0,1,f4,hlength,0,0,23,24
0,1,f4,hi,1,0,27,40
0,1,f4,hdiff,0,0,45,46
0,1,f4,hg,0,0,37,38
0,1,f2,hnba,0,0,17,18
0,1,f2,hlength,0,0,23,24
0,1,f2,hdiff,0,0,17,18
0,1,f5,hnba,1,0,13,16
0,1,f5,hlength,0,0,19,20
0,1,f5,hi,1,0,17,20
1,2,f6,hnba,1,0,18,24
1,2,f6,hlength,0,0,22,24
1,2,f6,hi,1,0,12,38
1,2,f6,hg,0,0,20,22
1,2,f3,hnba,1,0,8,18
1,2,f3,hmax,0,0,20,22
1,2,f3,hlength,0,0,8,10
1,2,f3,hi,0,0,18,20
1,2,f3,hdiff,1,0,8,20
1,2,f3,hg,0,0,12,14
1,2,f4,hnba,0,0,50,52
1,2,f4,hmax,0,0,32,20
1,2,f4,hlength,0,0,22,24
1,2,f4,hi,1,0,18,40
1,2,f4,hdiff,0,0,44,46
1,2,f4,hg,0,0,36,38
1,2,f2,hnba,1,0,8,18
1,2,f2,hlength,0,0,22,24
1,2,f2,hdiff,0,0,16,18
1,2,f5,hnba,0,0,14,16
1,2,f5,hlength,0,0,18,20
1,2,f5,hi,1,0,12,20
2,3,f6,hnba,0,0,35,24
2,3,f6,hlength,0,0,41,24
2,3,f6,hi,1,0,15,38
2,3,f6,hg,0,0,37,22
2,3,f3,hnba,0,0,19,18
2,3,f3,hmax,0,0,19,22
2,3,f3,hlength,0,0,7,10
2,3,f3,hi,0,0,25,20
2,3,f3,hdiff,1,0,7,20
2,3,f3,hg,0,0,11,14
2,3,f4,hnba,0,0,49,52
2,3,f4,hmax,0,0,31,20
2,3,f4,hlength,0,0,21,24
2,3,f4,hi,1,0,15,40
2,3,f4,hdiff,1,0,35,46
2,3,f4,hg,0,0,35,38
2,3,f2,hnba,0,0,19,18
2,3,f2,hlength,1,0,19,24
2,3,f2,hdiff,1,0,7,18
2,3,f5,hnba,1,0,7,16
2,3,f5,hlength,1,0,7,20
2,3,f5,hi,1,0,7,20
3,4,f6,hnba,0,0,30,24
3,4,f6,hlength,0,0,30,24
3,4,f6,hi,1,0,10,38
3,4,f6,hg,1,0,6,22
3,4,f3,hnba,0,0,22,18
3,4,f3,hmax,0,0,18,22
3,4,f3,hlength,0,0,6,10
3,4,f3,hi,1,0,6,20
3,4,f3,hdiff,0,0,18,20
3,4,f3,hg,1,0,6,14
3,4,f4,hnba,0,0,48,52
3,4,f4,hmax,0,0,16,20
3,4,f4,hlength,0,0,30,24
3,4,f4,hi,1,0,16,40
3,4,f4,hdiff,0,0,42,46
3,4,f4,hg,0,0,46,38
3,4,f2,hnba,0,0,22,18
3,4,f2,hlength,1,0,16,24
3,4,f2,hdiff,1,0,12,18
3,4,f5,hnba,0,0,14,16
3,4,f5,hlength,1,0,12,20
3,4,f5,hi,1,0,6,20
4,4,f6,hnba,1,0,14,24
4,4,f6,hlength,0,0,22,24
4,4,f6,hi,1,0,8,38
4,4,f6,hg,1,0,8,22
4,4,f3,hnba,0,0,16,18
4,4,f3,hmax,0,0,20,22
4,4,f3,hlength,0,0,8,10
4,4,f3,hi,0,0,18,20
4,4,f3,hdiff,0,0,18,20
4,4,f3,hg,0,0,12,14
