node_index,node_cost,search,heuristic,failure,error,result,source_result
0,1,f6,hnba,0,0,18,15
0,1,f6,hlength,0,0,16,14
0,1,f6,hi,1,0,7,18
0,1,f6,hg,0,0,18,14
0,1,f3,hnba,0,0,17,16
0,1,f3,hmax,1,0,12,17
0,1,f3,hlength,0,0,16,17
0,1,f3,hi,0,0,12,13
0,1,f3,hdiff,0,0,25,15
0,1,f3,hg,0,0,28,27
0,1,f4,hnba,0,0,50,51
0,1,f4,hmax,0,0,62,45
0,1,f4,hlength,0,0,23,24
0,1,f4,hi,0,0,7,8
0,1,f4,hdiff,0,0,23,24
0,1,f4,hg,0,0,20,10
0,1,f2,hnba,0,0,17,16
0,1,f2,hlength,0,0,16,15
0,1,f2,hdiff,1,0,8,16
0,1,f5,hnba,0,0,13,11
0,1,f5,hlength,0,0,16,16
0,1,f5,hi,1,0,7,14
1,2,f6,hnba,0,0,17,15
1,2,f6,hlength,0,0,17,14
1,2,f6,hi,0,0,34,18
1,2,f6,hg,0,0,20,14
1,2,f3,hnba,1,0,8,16
1,2,f3,hmax,1,0,11,17
1,2,f3,hlength,1,0,10,17
1,2,f3,hi,0,0,11,13
1,2,f3,hdiff,1,0,10,15
1,2,f3,hg,1,0,10,27
1,2,f4,hnba,0,0,49,51
1,2,f4,hmax,0,0,43,45
1,2,f4,hlength,0,0,22,24
1,2,f4,hi,0,0,6,8
1,2,f4,hdiff,0,0,22,24
1,2,f4,hg,0,0,15,10
1,2,f2,hnba,1,0,8,16
1,2,f2,hlength,0,0,13,15
1,2,f2,hdiff,1,0,8,16
1,2,f5,hnba,0,0,14,11
1,2,f5,hlength,0,0,14,16
1,2,f5,hi,1,0,6,14
2,3,f6,hnba,1,0,6,15
2,3,f6,hlength,1,0,6,14
2,3,f6,hi,0,0,18,18
2,3,f6,hg,1,0,6,14
2,3,f3,hnba,1,0,6,16
2,3,f3,hmax,1,0,10,17
2,3,f3,hlength,0,0,21,17
2,3,f3,hi,0,0,10,13
2,3,f3,hdiff,0,0,19,15
2,3,f3,hg,1,0,9,27
2,3,f4,hnba,0,0,48,51
2,3,f4,hmax,0,0,42,45
2,3,f4,hlength,0,0,21,24
2,3,f4,hi,0,0,5,8
2,3,f4,hdiff,0,0,21,24
2,3,f4,hg,0,0,16,10
2,3,f2,hnba,1,0,6,16
2,3,f2,hlength,0,0,19,15
2,3,f2,hdiff,1,0,12,16
2,3,f5,hnba,0,0,8,11
2,3,f5,hlength,1,0,8,16
2,3,f5,hi,1,0,5,14
3,4,f6,hnba,0,0,12,15
3,4,f6,hlength,0,0,14,14
3,4,f6,hi,0,0,18,18
3,4,f6,hg,1,0,8,14
3,4,f3,hnba,1,0,8,16
3,4,f3,hmax,1,0,11,17
3,4,f3,hlength,1,0,7,17
3,4,f3,hi,0,0,10,13
3,4,f3,hdiff,0,0,23,15
3,4,f3,hg,1,0,18,27
3,4,f4,hnba,0,0,58,51
3,4,f4,hmax,0,0,45,45
3,4,f4,hlength,0,0,20,24
3,4,f4,hi,0,0,5,8
3,4,f4,hdiff,0,0,20,24
3,4,f4,hg,0,0,13,10
3,4,f2,hnba,1,0,8,16
3,4,f2,hlength,0,0,13,15
3,4,f2,hdiff,1,0,7,16
3,4,f5,hnba,0,0,10,11
3,4,f5,hlength,0,0,12,16
3,4,f5,hi,1,0,5,14
4,4,f6,hnba,0,0,24,15
4,4,f6,hlength,0,0,14,14
4,4,f6,hi,0,0,18,18
4,4,f6,hg,1,0,8,14
4,4,f3,hnba,1,0,8,16
4,4,f3,hmax,0,0,17,17
4,4,f3,hlength,1,0,7,17
4,4,f3,hi,0,0,10,13
4,4,f3,hdiff,0,0,30,15
4,4,f3,hg,1,0,9,27
4,4,f4,hnba,0,0,58,51
4,4,f4,hmax,0,0,45,45
4,4,f4,hlength,0,0,20,24
4,4,f4,hi,0,0,5,8
4,4,f4,hdiff,0,0,20,24
4,4,f4,hg,0,0,11,10
4,4,f2,hnba,1,0,8,16
4,4,f2,hlength,0,0,15,15
4,4,f2,hdiff,1,0,7,16
4,4,f5,hnba,0,0,10,11
4,4,f5,hlength,1,0,8,16
4,4,f5,hi,1,0,5,14
5,4,f6,hnba,0,0,24,15
5,4,f6,hlength,0,0,14,14
5,4,f6,hi,0,0,36,18
5,4,f6,hg,1,0,8,14
5,4,f3,hnba,1,0,8,16
5,4,f3,hmax,0,0,17,17
5,4,f3,hlength,1,0,7,17
5,4,f3,hi,0,0,10,13
5,4,f3,hdiff,1,0,6,15
5,4,f3,hg,0,0,28,27
5,4,f4,hnba,0,0,50,51
5,4,f4,hmax,0,0,44,45
5,4,f4,hlength,0,0,20,24
5,4,f4,hi,0,0,5,8
5,4,f4,hdiff,0,0,20,24
5,4,f4,hg,0,0,17,10
5,4,f2,hnba,1,0,8,16
5,4,f2,hlength,0,0,18,15
5,4,f2,hdiff,1,0,7,16
5,4,f5,hnba,0,0,10,11
5,4,f5,hlength,1,0,8,16
5,4,f5,hi,1,0,5,14
